ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,BRANCH,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,STAGE
841770,FEMALE,A5,3020,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-03-03 14:02",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",NULL
841776,MALE,A5,2405,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-04-15 12:14",CALL,1,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
842022,MALE,A5,1030,KE,"NORMAL CLIENT","PERSONAL BANKING","RONGAI BRANCH",NO,PTP,"2021-04-29 12:13",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CLOSE,"e0Y e1M e0W o25D e0F",KES,,NULL
842209,MALE,A5,3220,KE,"NORMAL CLIENT","PERSONAL BANKING","CITY CENTRE BRANCH",NO,RESTRUCTURE,"2021-03-02 16:10",CALL,1,HP,"PERSONAL BANKING",A5,"PLATINUM BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
842210,MALE,A6,3425,KE,"NORMAL CLIENT","PERSONAL BANKING","KENYATTA AVENUE",NO,PTP,"2021-04-27 10:07",CALL,NULL,HP,"PERSONAL BANKING",A6,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
842438,MALE,A5,4625,KE,"NORMAL CLIENT","PERSONAL BANKING","NAKURU BRANCH",NO,PTP,"2021-01-08 11:35",CALL,3,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
842578,MALE,B11,3020,KE,"NORMAL CLIENT","PERSONAL BANKING","KITENGELA BRANCH",NO,RESTRUCTURE,"2020-10-15 15:48",CALL,1,HP,"PERSONAL BANKING",B11,"CREDIT COLLECTIONS",CURRENT,"e0Y e1M e0W o25D e0F",KES,"Motor Vehicle Loan",REPOSSESSION
842691,MALE,A5,1030,KE,"NORMAL CLIENT","PERSONAL BANKING","GALLERIA MALL, NAIROBI",NO,RESTRUCTURE,"2021-02-09 11:52",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"LOAN - ASSET FINANCE",COLLECTION
843039,NULL,A5,2410,KE,"NORMAL CLIENT","BUSINESS BANKING","NAKURU BRANCH",NO,PTP,"2020-09-12 14:22",CALL,NULL,HP,"BUSINESS BANKING",A5,"BUSINESS BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Asset Finance Loan",COLLECTION
843080,FEMALE,A5,1245,KE,"NORMAL CLIENT","PERSONAL BANKING","HARAMBEE BRANCH",NO,RESTRUCTURE,"2021-01-08 10:00",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"Motor Vehicle Loan",COLLECTION
