ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,LOAN_BRANCH_CODE,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,LOAN_STAGE
218302,,,,,Active,,16,NO,Unreachable: Out of reach,2022-02-17 11:36:44,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,89,COLLECTION
202867,,,,,Active,,11,YES,PTP,2022-02-17 11:41:50,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o27D e0F,,81,COLLECTION
185898,,,,,Active,,6,NO,Unreachable: Out of reach,2022-02-17 11:49:08,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,32,
140888,,,,,Active,,7,YES,PTP,2022-02-17 11:51:18,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o27D e0F,,79,COLLECTION
170398,,,,,Active,,29,YES,PTP,2022-02-17 11:55:01,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,79,COLLECTION
59295,,,,,Active,,9,YES,PTP,2022-02-17 12:21:00,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o27D e0F,,84,COLLECTION
8697,,,,,Active,,9,YES,PTP,2022-02-17 12:29:16,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,74,COLLECTION
56064,,,,,Active,,8,YES,PTP,2022-02-17 12:36:22,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,
255459,,,,,Active,,4,YES,PTP,2022-02-17 12:52:12,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,78,COLLECTION
2416,,,,,Active,,4,NO,NIP,2022-02-18 09:06:07,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
213474,,,,,Active,,4,YES,PTP,2022-02-18 09:24:57,CALL,4,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
159907,,,,,Active,,8,NO,Unreachable: Ringing no answer,2022-02-18 09:36:16,CALL,4,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
273129,,,,,Active,,3,NO,NIP,2022-02-18 09:52:33,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
116943,,,,,Active,,4,NO,Unreachable: Out of reach,2022-02-18 10:41:38,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,79,COLLECTION
171067,,,,,Active,,8,NO,Unreachable: Ringing no answer,2022-02-18 11:27:29,CALL,5,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,79,COLLECTION
206125,,,,,Active,,2,NO,SIP,2022-02-18 11:31:46,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,79,COLLECTION
182126,,,,,Active,,6,NO,Unreachable: Out of reach,2022-02-18 11:41:07,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,78,COLLECTION
283445,,,,,Active,,11,YES,PTP,2022-02-18 11:47:28,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,52,COLLECTION
201205,,,,,Active,,16,YES,PTP,2022-02-18 11:51:28,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
283471,,,,,Active,,11,NO,Unreachable: Ringing no answer,2022-02-18 12:09:29,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,52,COLLECTION
185601,,,,,Active,,6,YES,PTP,2022-02-18 12:21:11,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
287838,,,,,Active,,11,YES,PTP,2022-02-18 12:28:23,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,100,COLLECTION
189327,,,,,Active,,2,YES,PTP,2022-02-18 12:34:15,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
10337,,,,,Active,,16,YES,PTP,2022-02-21 11:21:55,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,32,
206125,,,,,Active,,2,NO,SIP,2022-02-21 11:47:22,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
182126,,,,,Active,,6,YES,PTP,2022-02-21 12:19:15,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,78,COLLECTION
278452,,,,,Active,,6,NO,Unreachable: Ringing no answer,2022-02-21 12:51:03,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
261135,,,,,Active,,6,NO,Unreachable: Out of reach,2022-02-21 12:54:56,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
255926,,,,,Active,,11,YES,PTP,2022-02-21 13:03:50,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,81,COLLECTION
80174,,,,,Active,,6,NO,Unwilling to Pay,2022-02-21 13:19:16,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
185594,,,,,Active,,6,YES,PTP,2022-02-21 15:59:30,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
249923,,,,,Active,,11,NO,NIP,2022-02-21 16:28:56,CALL,2,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,81,COLLECTION
279870,,,,,Active,,2,YES,PTP,2022-02-21 16:31:49,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
165449,,,,,Active,,10,NO,Unreachable: Out of reach,2022-02-21 16:33:32,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
276424,,,,,Active,,3,NO,Unwilling to Pay,2022-02-21 16:40:54,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,74,COLLECTION
